Barcode,Difference
s_008um_00425_00829-1,0
s_008um_00301_00321-1,0
s_008um_00377_00750-1,0
s_008um_00383_00696-1,0
s_008um_00526_00291-1,0
s_008um_00078_00444-1,0
s_008um_00128_00278-1,0
s_008um_00052_00559-1,0
s_008um_00121_00413-1,0
s_008um_00504_00410-1,0
s_008um_00320_00191-1,0
s_008um_00242_00588-1,0
s_008um_00516_00369-1,0
s_008um_00161_00253-1,0
s_008um_00447_00253-1,0
s_008um_00455_00433-1,0
s_008um_00293_00334-1,0
s_008um_00401_00407-1,0
s_008um_00362_00171-1,0
s_008um_00167_00326-1,0
s_008um_00343_00599-1,0
s_008um_00307_00174-1,0
s_008um_00286_00660-1,0
s_008um_00259_00181-1,0
s_008um_00551_00248-1,0
s_008um_00220_00715-1,0
s_008um_00259_00546-1,0
s_008um_00439_00450-1,0
s_008um_00479_00315-1,0
s_008um_00207_00537-1,0
s_008um_00632_00615-1,0
s_008um_00496_00471-1,0
s_008um_00452_00322-1,0
s_008um_00114_00565-1,0
s_008um_00470_00583-1,0
s_008um_00202_00633-1,0
s_008um_00186_00333-1,0
s_008um_00299_00428-1,0
s_008um_00395_00714-1,0
s_008um_00537_00607-1,0
s_008um_00537_00529-1,0
s_008um_00300_00184-1,0
s_008um_00150_00381-1,0
s_008um_00371_00243-1,0
s_008um_00243_00437-1,0
s_008um_00207_00695-1,0
s_008um_00345_00721-1,0
s_008um_00244_00354-1,0
s_008um_00314_00719-1,0
s_008um_00293_00501-1,0
s_008um_00285_00712-1,0
s_008um_00400_00829-1,0
s_008um_00383_00515-1,0
s_008um_00259_00685-1,0
s_008um_00126_00342-1,0
s_008um_00541_00215-1,0
s_008um_00147_00381-1,0
s_008um_00304_00552-1,0
s_008um_00282_00228-1,0
s_008um_00046_00472-1,0
s_008um_00196_00202-1,0
s_008um_00224_00345-1,0
s_008um_00278_00120-1,0
s_008um_00209_00194-1,0
s_008um_00541_00411-1,0
s_008um_00333_00722-1,0
s_008um_00289_00701-1,0
s_008um_00125_00648-1,0
s_008um_00118_00512-1,0
s_008um_00461_00416-1,0
s_008um_00618_00555-1,0
s_008um_00325_00332-1,0
s_008um_00514_00582-1,0
s_008um_00514_00421-1,0
s_008um_00333_00508-1,0
s_008um_00271_00792-1,0
s_008um_00451_00702-1,0
s_008um_00137_00500-1,0
s_008um_00307_00735-1,0
s_008um_00339_00815-1,0
s_008um_00255_00386-1,0
s_008um_00063_00320-1,0
s_008um_00255_00436-1,0
s_008um_00134_00517-1,0
s_008um_00285_00131-1,0
s_008um_00382_00289-1,0
s_008um_00432_00524-1,0
s_008um_00635_00548-1,0
s_008um_00606_00500-1,0
s_008um_00308_00291-1,0
s_008um_00310_00437-1,0
s_008um_00409_00339-1,0
s_008um_00454_00517-1,0
s_008um_00141_00404-1,0
s_008um_00480_00721-1,0
s_008um_00171_00702-1,0
s_008um_00532_00194-1,0
s_008um_00317_00494-1,0
s_008um_00397_00645-1,0
s_008um_00219_00193-1,0
s_008um_00231_00756-1,0
s_008um_00512_00706-1,0
s_008um_00205_00489-1,0
s_008um_00429_00535-1,0
s_008um_00275_00615-1,0
s_008um_00479_00291-1,0
s_008um_00106_00559-1,0
s_008um_00338_00174-1,0
s_008um_00373_00579-1,0
s_008um_00466_00451-1,0
s_008um_00394_00617-1,0
s_008um_00198_00335-1,0
s_008um_00235_00694-1,0
s_008um_00420_00709-1,0
s_008um_00092_00326-1,0
s_008um_00113_00475-1,0
s_008um_00458_00588-1,0
s_008um_00226_00677-1,0
s_008um_00331_00390-1,0
s_008um_00555_00462-1,0
s_008um_00537_00712-1,0
s_008um_00383_00182-1,0
s_008um_00567_00529-1,0
s_008um_00270_00264-1,0
s_008um_00124_00453-1,0
s_008um_00294_00626-1,0
s_008um_00402_00253-1,0
