Barcode,difference_label
s_008um_00069_00506-1,False Positive
s_008um_00069_00508-1,False Positive
s_008um_00069_00511-1,False Positive
s_008um_00070_00505-1,False Positive
s_008um_00070_00506-1,False Positive
s_008um_00070_00507-1,False Positive
s_008um_00070_00508-1,False Positive
s_008um_00070_00509-1,False Positive
s_008um_00070_00510-1,False Positive
s_008um_00070_00511-1,False Positive
s_008um_00070_00512-1,False Positive
s_008um_00071_00505-1,False Positive
s_008um_00071_00506-1,False Positive
s_008um_00071_00507-1,False Positive
s_008um_00071_00508-1,False Positive
s_008um_00071_00509-1,False Positive
s_008um_00071_00510-1,False Positive
s_008um_00071_00511-1,False Positive
s_008um_00071_00512-1,False Positive
s_008um_00071_00513-1,False Positive
s_008um_00072_00505-1,False Positive
s_008um_00072_00506-1,False Positive
s_008um_00072_00507-1,False Positive
s_008um_00072_00508-1,False Positive
s_008um_00072_00509-1,False Positive
s_008um_00072_00510-1,False Positive
s_008um_00072_00511-1,False Positive
s_008um_00072_00512-1,False Positive
s_008um_00073_00505-1,False Positive
s_008um_00073_00506-1,False Positive
s_008um_00073_00507-1,False Positive
s_008um_00073_00508-1,False Positive
s_008um_00073_00509-1,False Positive
s_008um_00073_00510-1,False Positive
s_008um_00073_00511-1,False Positive
s_008um_00073_00512-1,False Positive
s_008um_00074_00506-1,False Positive
s_008um_00074_00507-1,False Positive
s_008um_00074_00508-1,False Positive
s_008um_00074_00509-1,False Positive
s_008um_00074_00510-1,False Positive
s_008um_00074_00511-1,False Positive
s_008um_00100_00359-1,False Positive
s_008um_00100_00360-1,False Positive
s_008um_00100_00361-1,False Positive
s_008um_00100_00362-1,False Positive
s_008um_00101_00357-1,False Positive
s_008um_00101_00358-1,False Positive
s_008um_00101_00359-1,False Positive
s_008um_00101_00360-1,False Positive
s_008um_00101_00361-1,False Positive
s_008um_00101_00362-1,False Positive
s_008um_00101_00363-1,False Positive
s_008um_00102_00357-1,False Positive
s_008um_00102_00358-1,False Positive
s_008um_00102_00359-1,False Positive
s_008um_00102_00360-1,False Positive
s_008um_00102_00361-1,False Positive
s_008um_00102_00362-1,False Positive
s_008um_00102_00363-1,False Positive
s_008um_00103_00356-1,False Positive
s_008um_00103_00357-1,False Positive
s_008um_00103_00358-1,False Positive
s_008um_00103_00359-1,False Positive
s_008um_00103_00360-1,False Positive
s_008um_00103_00361-1,False Positive
s_008um_00103_00362-1,False Positive
s_008um_00103_00363-1,False Positive
s_008um_00104_00356-1,False Positive
s_008um_00104_00357-1,False Positive
s_008um_00104_00358-1,False Positive
s_008um_00104_00359-1,False Positive
s_008um_00104_00360-1,False Positive
s_008um_00104_00361-1,False Positive
s_008um_00104_00362-1,False Positive
s_008um_00104_00363-1,False Positive
s_008um_00105_00357-1,False Positive
s_008um_00105_00358-1,False Positive
s_008um_00105_00359-1,False Positive
s_008um_00105_00360-1,False Positive
s_008um_00105_00361-1,False Positive
s_008um_00105_00362-1,False Positive
s_008um_00105_00363-1,False Positive
s_008um_00106_00357-1,False Positive
s_008um_00106_00358-1,False Positive
s_008um_00106_00359-1,False Positive
s_008um_00106_00360-1,False Positive
s_008um_00106_00361-1,False Positive
s_008um_00106_00362-1,False Positive
s_008um_00107_00359-1,False Positive
s_008um_00107_00360-1,False Positive
s_008um_00109_00481-1,False Positive
s_008um_00109_00482-1,False Positive
s_008um_00109_00483-1,False Positive
s_008um_00109_00484-1,False Positive
s_008um_00110_00425-1,False Positive
s_008um_00110_00426-1,False Positive
s_008um_00110_00479-1,False Positive
s_008um_00110_00484-1,False Positive
s_008um_00110_00485-1,False Positive
s_008um_00111_00425-1,False Positive
s_008um_00111_00472-1,False Positive
s_008um_00111_00473-1,False Positive
s_008um_00111_00474-1,False Positive
s_008um_00111_00475-1,False Positive
s_008um_00112_00424-1,False Positive
s_008um_00112_00425-1,False Positive
s_008um_00112_00471-1,False Positive
s_008um_00112_00472-1,False Positive
s_008um_00112_00473-1,False Positive
s_008um_00112_00474-1,False Positive
s_008um_00112_00475-1,False Positive
s_008um_00112_00476-1,False Positive
s_008um_00113_00424-1,False Positive
s_008um_00113_00471-1,False Positive
s_008um_00113_00472-1,False Positive
s_008um_00113_00473-1,False Positive
s_008um_00113_00474-1,False Positive
s_008um_00113_00475-1,False Positive
s_008um_00113_00476-1,False Positive
s_008um_00114_00424-1,False Positive
s_008um_00114_00471-1,False Positive
s_008um_00114_00472-1,False Positive
s_008um_00114_00473-1,False Positive
s_008um_00114_00474-1,False Positive
s_008um_00114_00475-1,False Positive
s_008um_00114_00476-1,False Positive
s_008um_00114_00548-1,False Positive
s_008um_00115_00424-1,False Positive
s_008um_00115_00430-1,False Positive
s_008um_00115_00471-1,False Positive
s_008um_00115_00472-1,False Positive
s_008um_00115_00473-1,False Positive
s_008um_00115_00474-1,False Positive
s_008um_00115_00475-1,False Positive
s_008um_00115_00476-1,False Positive
s_008um_00115_00520-1,False Positive
s_008um_00115_00535-1,False Positive
s_008um_00115_00547-1,False Positive
s_008um_00116_00471-1,False Positive
s_008um_00116_00472-1,False Positive
s_008um_00116_00473-1,False Positive
s_008um_00116_00474-1,False Positive
s_008um_00116_00475-1,False Positive
s_008um_00116_00476-1,False Positive
s_008um_00116_00520-1,False Positive
s_008um_00116_00528-1,False Positive
s_008um_00116_00547-1,False Positive
s_008um_00117_00472-1,False Positive
s_008um_00117_00473-1,False Positive
s_008um_00117_00474-1,False Positive
s_008um_00117_00475-1,False Positive
s_008um_00117_00494-1,False Positive
s_008um_00118_00495-1,False Positive
s_008um_00118_00535-1,False Positive
s_008um_00119_00495-1,False Positive
s_008um_00119_00535-1,False Positive
s_008um_00120_00429-1,False Positive
s_008um_00120_00495-1,False Positive
s_008um_00120_00578-1,False Positive
s_008um_00120_00592-1,False Positive
s_008um_00121_00429-1,False Positive
s_008um_00121_00490-1,False Positive
s_008um_00121_00495-1,False Positive
s_008um_00121_00540-1,False Positive
s_008um_00121_00578-1,False Positive
s_008um_00121_00593-1,False Positive
s_008um_00122_00429-1,False Positive
s_008um_00122_00430-1,False Positive
s_008um_00122_00473-1,False Positive
s_008um_00122_00474-1,False Positive
s_008um_00122_00475-1,False Positive
s_008um_00122_00491-1,False Positive
s_008um_00122_00492-1,False Positive
s_008um_00122_00493-1,False Positive
s_008um_00122_00494-1,False Positive
s_008um_00122_00540-1,False Positive
s_008um_00122_00578-1,False Positive
s_008um_00122_00593-1,False Positive
s_008um_00123_00430-1,False Positive
s_008um_00123_00459-1,False Positive
s_008um_00123_00460-1,False Positive
s_008um_00123_00461-1,False Positive
s_008um_00123_00462-1,False Positive
s_008um_00123_00541-1,False Positive
s_008um_00123_00578-1,False Positive
s_008um_00123_00631-1,False Positive
s_008um_00124_00458-1,False Positive
s_008um_00124_00460-1,False Positive
s_008um_00124_00461-1,False Positive
s_008um_00124_00463-1,False Positive
s_008um_00124_00541-1,False Positive
s_008um_00124_00542-1,False Positive
s_008um_00124_00543-1,False Positive
s_008um_00124_00630-1,False Positive
s_008um_00126_00441-1,False Positive
s_008um_00126_00442-1,False Positive
s_008um_00126_00443-1,False Positive
s_008um_00126_00444-1,False Positive
s_008um_00126_00490-1,False Positive
s_008um_00126_00491-1,False Positive
s_008um_00126_00492-1,False Positive
s_008um_00126_00493-1,False Positive
s_008um_00126_00494-1,False Positive
s_008um_00126_00504-1,False Positive
s_008um_00126_00505-1,False Positive
s_008um_00126_00506-1,False Positive
s_008um_00126_00507-1,False Positive
s_008um_00126_00508-1,False Positive
s_008um_00126_00531-1,False Positive
s_008um_00127_00441-1,False Positive
s_008um_00127_00442-1,False Positive
s_008um_00127_00443-1,False Positive
s_008um_00127_00444-1,False Positive
s_008um_00127_00456-1,False Positive
s_008um_00127_00494-1,False Positive
s_008um_00127_00513-1,False Positive
s_008um_00127_00517-1,False Positive
s_008um_00127_00525-1,False Positive
s_008um_00128_00371-1,False Positive
s_008um_00128_00441-1,False Positive
s_008um_00128_00442-1,False Positive
s_008um_00128_00443-1,False Positive
s_008um_00128_00444-1,False Positive
s_008um_00128_00456-1,False Positive
s_008um_00128_00463-1,False Positive
s_008um_00128_00494-1,False Positive
s_008um_00128_00513-1,False Positive
s_008um_00128_00518-1,False Positive
s_008um_00128_00525-1,False Positive
s_008um_00128_00613-1,False Positive
s_008um_00129_00371-1,False Positive
s_008um_00129_00442-1,False Positive
s_008um_00129_00443-1,False Positive
s_008um_00129_00444-1,False Positive
s_008um_00129_00456-1,False Positive
s_008um_00129_00463-1,False Positive
s_008um_00129_00494-1,False Positive
s_008um_00129_00513-1,False Positive
s_008um_00129_00518-1,False Positive
s_008um_00129_00525-1,False Positive
s_008um_00129_00613-1,False Positive
s_008um_00129_00614-1,False Positive
s_008um_00130_00428-1,False Positive
s_008um_00130_00456-1,False Positive
s_008um_00130_00461-1,False Positive
s_008um_00130_00462-1,False Positive
s_008um_00130_00490-1,False Positive
s_008um_00130_00491-1,False Positive
s_008um_00130_00492-1,False Positive
s_008um_00130_00493-1,False Positive
s_008um_00130_00517-1,False Positive
s_008um_00130_00525-1,False Positive
s_008um_00130_00526-1,False Positive
s_008um_00130_00600-1,False Positive
s_008um_00130_00601-1,False Positive
s_008um_00130_00602-1,False Positive
s_008um_00130_00603-1,False Positive
s_008um_00130_00614-1,False Positive
s_008um_00131_00413-1,False Positive
s_008um_00131_00428-1,False Positive
s_008um_00131_00457-1,False Positive
s_008um_00131_00458-1,False Positive
s_008um_00131_00459-1,False Positive
s_008um_00131_00460-1,False Positive
s_008um_00131_00461-1,False Positive
s_008um_00131_00516-1,False Positive
s_008um_00131_00517-1,False Positive
s_008um_00131_00525-1,False Positive
s_008um_00131_00526-1,False Positive
s_008um_00131_00527-1,False Positive
s_008um_00131_00528-1,False Positive
s_008um_00131_00531-1,False Positive
s_008um_00131_00599-1,False Positive
s_008um_00131_00600-1,False Positive
s_008um_00131_00603-1,False Positive
s_008um_00131_00604-1,False Positive
s_008um_00131_00609-1,False Positive
s_008um_00131_00613-1,False Positive
s_008um_00131_00614-1,False Positive
s_008um_00131_00615-1,False Positive
s_008um_00131_00618-1,False Positive
s_008um_00132_00413-1,False Positive
s_008um_00132_00424-1,False Positive
s_008um_00132_00428-1,False Positive
s_008um_00132_00460-1,False Positive
s_008um_00132_00461-1,False Positive
s_008um_00132_00462-1,False Positive
s_008um_00132_00463-1,False Positive
s_008um_00132_00472-1,False Positive
s_008um_00132_00473-1,False Positive
s_008um_00132_00474-1,False Positive
s_008um_00132_00475-1,False Positive
s_008um_00132_00527-1,False Positive
s_008um_00132_00528-1,False Positive
s_008um_00132_00529-1,False Positive
s_008um_00132_00530-1,False Positive
s_008um_00132_00599-1,False Positive
s_008um_00132_00604-1,False Positive
s_008um_00132_00610-1,False Positive
s_008um_00132_00611-1,False Positive
s_008um_00132_00612-1,False Positive
s_008um_00132_00613-1,False Positive
s_008um_00132_00614-1,False Positive
s_008um_00132_00619-1,False Positive
s_008um_00133_00413-1,False Positive
s_008um_00133_00414-1,False Positive
s_008um_00133_00415-1,False Positive
s_008um_00133_00419-1,False Positive
s_008um_00133_00459-1,False Positive
s_008um_00133_00599-1,False Positive
s_008um_00133_00604-1,False Positive
s_008um_00133_00614-1,False Positive
s_008um_00133_00619-1,False Positive
s_008um_00134_00413-1,False Positive
s_008um_00134_00414-1,False Positive
s_008um_00134_00415-1,False Positive
s_008um_00134_00416-1,False Positive
s_008um_00134_00417-1,False Positive
s_008um_00134_00418-1,False Positive
s_008um_00134_00419-1,False Positive
s_008um_00134_00459-1,False Positive
s_008um_00134_00599-1,False Positive
s_008um_00134_00604-1,False Positive
s_008um_00134_00614-1,False Positive
s_008um_00135_00419-1,False Positive
s_008um_00135_00459-1,False Positive
s_008um_00135_00603-1,False Positive
s_008um_00135_00614-1,False Positive
s_008um_00135_00615-1,False Positive
s_008um_00136_00419-1,False Positive
s_008um_00136_00459-1,False Positive
s_008um_00136_00460-1,False Positive
s_008um_00136_00615-1,False Positive
s_008um_00136_00616-1,False Positive
s_008um_00136_00617-1,False Positive
s_008um_00137_00370-1,False Positive
s_008um_00137_00441-1,False Positive
s_008um_00137_00444-1,False Positive
s_008um_00137_00460-1,False Positive
s_008um_00137_00461-1,False Positive
s_008um_00138_00371-1,False Positive
s_008um_00138_00441-1,False Positive
s_008um_00138_00444-1,False Positive
s_008um_00138_00490-1,False Positive
s_008um_00138_00491-1,False Positive
s_008um_00139_00441-1,False Positive
s_008um_00139_00444-1,False Positive
s_008um_00139_00485-1,False Positive
s_008um_00139_00491-1,False Positive
s_008um_00139_00492-1,False Positive
s_008um_00139_00493-1,False Positive
s_008um_00139_00494-1,False Positive
s_008um_00139_00495-1,False Positive
s_008um_00139_00649-1,False Positive
s_008um_00139_00650-1,False Positive
s_008um_00140_00441-1,False Positive
s_008um_00140_00444-1,False Positive
s_008um_00140_00492-1,False Positive
s_008um_00140_00493-1,False Positive
s_008um_00140_00603-1,False Positive
s_008um_00140_00604-1,False Positive
s_008um_00141_00371-1,False Positive
s_008um_00141_00378-1,False Positive
s_008um_00141_00423-1,False Positive
s_008um_00141_00424-1,False Positive
s_008um_00141_00425-1,False Positive
s_008um_00141_00426-1,False Positive
s_008um_00141_00441-1,False Positive
s_008um_00141_00442-1,False Positive
s_008um_00141_00443-1,False Positive
s_008um_00141_00444-1,False Positive
s_008um_00141_00455-1,False Positive
s_008um_00141_00602-1,False Positive
s_008um_00141_00604-1,False Positive
s_008um_00141_00605-1,False Positive
s_008um_00141_00648-1,False Positive
s_008um_00142_00423-1,False Positive
s_008um_00142_00455-1,False Positive
s_008um_00142_00478-1,False Positive
s_008um_00142_00605-1,False Positive
s_008um_00143_00455-1,False Positive
s_008um_00143_00478-1,False Positive
s_008um_00143_00605-1,False Positive
s_008um_00143_00649-1,False Positive
s_008um_00144_00432-1,False Positive
s_008um_00144_00650-1,False Positive
s_008um_00145_00432-1,False Positive
s_008um_00145_00433-1,False Positive
s_008um_00145_00505-1,False Positive
s_008um_00145_00506-1,False Positive
s_008um_00146_00433-1,False Positive
s_008um_00146_00505-1,False Positive
s_008um_00146_00506-1,False Positive
s_008um_00147_00505-1,False Positive
s_008um_00147_00506-1,False Positive
s_008um_00148_00353-1,False Positive
s_008um_00148_00354-1,False Positive
s_008um_00148_00505-1,False Positive
s_008um_00148_00506-1,False Positive
s_008um_00149_00350-1,False Positive
s_008um_00149_00354-1,False Positive
s_008um_00149_00506-1,False Positive
s_008um_00150_00354-1,False Positive
s_008um_00150_00355-1,False Positive
s_008um_00150_00512-1,False Positive
s_008um_00151_00354-1,False Positive
s_008um_00151_00567-1,False Positive
s_008um_00152_00354-1,False Positive
s_008um_00152_00440-1,False Positive
s_008um_00154_00435-1,False Positive
s_008um_00155_00297-1,False Positive
s_008um_00155_00298-1,False Positive
s_008um_00155_00299-1,False Positive
s_008um_00155_00300-1,False Positive
s_008um_00155_00301-1,False Positive
s_008um_00155_00302-1,False Positive
s_008um_00155_00435-1,False Positive
s_008um_00155_00436-1,False Positive
s_008um_00156_00296-1,False Positive
s_008um_00156_00303-1,False Positive
s_008um_00156_00394-1,False Positive
s_008um_00156_00395-1,False Positive
s_008um_00156_00396-1,False Positive
s_008um_00156_00435-1,False Positive
s_008um_00156_00436-1,False Positive
s_008um_00156_00437-1,False Positive
s_008um_00157_00303-1,False Positive
s_008um_00157_00394-1,False Positive
s_008um_00157_00395-1,False Positive
s_008um_00158_00303-1,False Positive
s_008um_00158_00338-1,False Positive
s_008um_00158_00339-1,False Positive
s_008um_00158_00340-1,False Positive
s_008um_00158_00341-1,False Positive
s_008um_00158_00342-1,False Positive
s_008um_00158_00391-1,False Positive
s_008um_00158_00392-1,False Positive
s_008um_00158_00393-1,False Positive
s_008um_00158_00394-1,False Positive
s_008um_00158_00395-1,False Positive
s_008um_00158_00396-1,False Positive
s_008um_00158_00603-1,False Positive
s_008um_00158_00604-1,False Positive
s_008um_00158_00606-1,False Positive
s_008um_00158_00676-1,False Positive
s_008um_00159_00303-1,False Positive
s_008um_00159_00337-1,False Positive
s_008um_00159_00338-1,False Positive
s_008um_00159_00342-1,False Positive
s_008um_00159_00390-1,False Positive
s_008um_00159_00391-1,False Positive
s_008um_00159_00392-1,False Positive
s_008um_00159_00393-1,False Positive
s_008um_00159_00394-1,False Positive
s_008um_00159_00395-1,False Positive
s_008um_00159_00396-1,False Positive
s_008um_00159_00397-1,False Positive
s_008um_00159_00498-1,False Positive
s_008um_00159_00502-1,False Positive
s_008um_00159_00503-1,False Positive
s_008um_00159_00602-1,False Positive
s_008um_00159_00676-1,False Positive
