x,y
2048,8192
2048,10240
2048,12288
4096,6144
4096,8192
4096,10240
4096,12288
4096,14336
6144,6144
6144,8192
6144,10240
6144,12288
6144,14336
6144,16384
8192,4096
8192,6144
8192,8192
8192,10240
8192,12288
8192,14336
8192,16384
8192,18432
10240,4096
10240,6144
10240,8192
10240,10240
10240,12288
10240,14336
10240,16384
10240,18432
12288,4096
12288,6144
12288,8192
12288,10240
12288,12288
12288,14336
12288,16384
12288,18432
12288,20480
14336,2048
14336,4096
14336,6144
14336,8192
14336,10240
14336,12288
14336,14336
14336,16384
14336,18432
14336,20480
16384,2048
16384,4096
16384,6144
16384,8192
16384,10240
16384,12288
16384,14336
16384,16384
16384,18432
16384,20480
18432,2048
18432,4096
18432,6144
18432,8192
18432,10240
18432,12288
18432,14336
18432,16384
18432,18432
18432,20480
20480,2048
20480,4096
20480,6144
20480,8192
20480,10240
20480,12288
20480,14336
20480,16384
20480,18432
20480,20480
22528,4096
22528,6144
22528,8192
22528,10240
22528,12288
22528,14336
22528,16384
22528,18432
24576,4096
24576,6144
24576,8192
24576,10240
24576,12288
24576,14336
24576,16384
24576,18432
26624,6144
26624,8192
26624,10240
26624,12288
26624,14336
26624,16384
